"","countries","GEF6","GEF7","type","needs","OECD","gdpconstant2010us","amt_provided_developinginthousan","mobilizing_int_finflowsinusdthou","mobililizing_int_flows_coeff","MaxDomExp","LastDomExp","dom_exp","ln_domexp...12","gaps","avail_resources","expected_funding_gap","int_pob","incl","eval","inc_pob","type_exp","sources","domestice_sources","international_sources","report_dom_exp","report_funding_gaps","prepare_fin_plans","countrycode","accesstocleanfuelsandtechnologie","adjustednetenrollmentrateprimary","adjustednetsavingsincludingparti","adjustedsavingscarbondioxidedama","adjustedsavingsenergydepletionof","adjustedsavingsmineraldepletiono","adjustedsavingsnaturalresourcesd","adjustedsavingsnetforestdepletio","adjustedsavingsnetnationalsaving","renewableelectricityoutputoftota","terrestrialandmarineprotectedare","terrestrialprotectedareasoftotal","totalfisheriesproductionmetricto","totalnaturalresourcesrentsofgdp","agriculturallandoflandarea","agriculturalmethaneemissionsofto","agriculturalnitrousoxideemission","agricultureforestryandfishingval","alternativeandnuclearenergyoftot","birdspeciesthreatened","capturefisheriesproductionmetric","CO2_Ems","coalrentsofgdp","droughtsfloodsextremetemperature","fertilizerconsumptionkilogramspe","fishspeciesthreatened","forestrentsofgdp","GDPgrowth","gdpperunitofenergyusepppperkgofo","mammalspeciesthreatened","mineralrentsofgdp","nitrousoxideemissionsinenergysec","oilrentsofgdp","permanentcroplandoflandarea","plantspecieshigherthreatened","Pollution_Expo","povertyheadcountratioatnationalp","refugeepopulationbycountryorterr","urbanpopulationgrowthannual","controlofcorruptionestimate","governmenteffectivenessestimate","politicalstabilityandabsenceofvi","regulatoryqualityestimate","ruleoflawestimate","voiceandaccountabilityestimate","populationgrowthannual","populationtotal","cbd_region","dev","broad_region","biofin","ln_needs","ln_domexp...80","ln_Avail_resources","ThSpecies_Biofin","average_crs","ln_averagecrs","domexp_thousand","lndomexp_thousand","new_avgcrs","ln_newavgcrs","average_agriculture_land","average_agriffvaluegdp","average_aquaculture_productionme","average_arable_land","average_co2emmkt","average_forestarealandarea","average_forestareasqkm","average_gnipercapita","landareasqkm","average_permanentcropland","average_population_density","average_renewable_energy_conspto","_merge","id","Threatened_Species","lnGDP","ln_renewable_output","Aid_GDP","lnAid_GDP","ln_AgriFF","newneeds","GDP_CO2","ln_CO2_Ems","Gov","lnpop","agri_pop","ln_average_co2emmkt","GDP_averageco2emskt","yhat_extrapdomexp","extrapolate_domexp","manual_extrapdomexp","lnmanual_extrapdomexp","yhat_method1","extrap_needs_method1","yhat_method2","extrap_needsII","ln_newneeds","pc1","pc2","pc3","pc4","pca","Needs_prob","Index_dcq","new_domexp","ln_newdomexp","new_domexp_max","ln_newdomexp_max","new_domexp_last","ln_newdomexp_last","new_needs","constant","ln_gef6","ln_gef7"
"1","Afghanistan",14313527.49,5906850,"Least_dev",NA,0,1.7e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AFG",22.8064,NA,-3.51923,1.70768,0.080882,0.002614,0.267067,0.183571,-2.16022,80.2981,0.104707,0.103138,2022.73,0.574059,58.0677,63.7688,71.4747,4.1e+09,NA,16,1000,0.150967,0.20594,1.05929,9.78672,4,0.329062,6.75178,NA,11,0.002566,5.97675,0.01589,0.196617,5,99.8237,42.1667,62196.2,3.74493,-1.44742,-1.33452,-2.64014,-1.18302,-1.53721,-1.05601,2.82882,3.5e+07,NA,0,"Asia",0,NA,NA,NA,0,4114.29,8.322222,NA,NA,4.11e+09,22.13773,379101,24.5337,1022.73,11.9194,7353.56,2.06782,13500,544.26,652860,0.196617,48.1928,20.4526,"matched (3)",1,27,23.55648,4.385746,0.2420171,-1.418747,22.13425,NA,3.556251,-1.890694,-3.608307,17.37086,202.1891,8.90294,209.7219,15.80946,7344467,7344467,15.80946,16.20494,10900000,15.62823,6127065,NA,-0.7876841,-1.780477,0.9892702,0.2416748,25.66278,0,13,NA,NA,NA,NA,NA,NA,NA,1,16.4767156263963,15.5916232523661
"2","Albania",8533174.5,NA,"Trans_Countries",NA,0,1.2e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALB",67.2045,91.5628,9.91711,1.10426,0.980898,0.170515,1.19423,0.042817,9.19827,99.4359,13.3997,17.5607,8789.43,2.25097,42.9412,66.175,80.1256,2.2e+09,21.3475,8,6781.68,0.174785,0.003153,5.26958,94.1164,44,0.131776,3.58407,12.5073,3,0.371376,6.50857,1.72775,3.18414,4,0.048395,13.35,90.0769,1.58349,-0.474535,0.027313,0.387446,0.220484,-0.357789,0.175902,-0.199368,2900000,NA,2,"Europe",0,NA,NA,NA,0,194.629,5.271095,NA,NA,1.95e+08,19.08661,11765.9,18.4702,2007.75,22.2833,4678.68,28.3057,7755.76,4180.27,27400,3.18414,106.224,36.8661,"matched (3)",2,11,23.20817,4.599513,0.0162191,-4.121567,21.51172,63200000,4.05644,-1.744199,-0.0820191,14.88022,-15.97448,8.450772,196.127,16.68498,17600000,17600000,16.68498,16.9076,2.2e+07,16.04736,9317112,NA,-0.7097673,-0.1907778,0.3183289,-0.1035549,10.31423,0,3,NA,NA,NA,NA,NA,NA,NA,1,15.9594720073272,NA
"3","Algeria",3458823.59,NA,"Developing",NA,0,1.7e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DZA",92.3409,98.2734,25.4091,2.08969,17.3229,0.014791,17.449,0.111333,40.6157,0.643781,7.1055,7.49671,115462,26.1839,17.3655,9.88374,57.7648,1.5e+10,0.047894,15,113682,0.262409,0,0.039223,17.9217,41,0.137744,2.79006,11.0794,14,0.137869,7.53691,22.2404,0.393925,22,51.4682,5.5,94173.6,2.85539,-0.632826,-0.508536,-1.01753,-1.2177,-0.826752,-0.882659,2.03653,4.1e+07,NA,1,"Africa",0,NA,NA,NA,0,186.363,5.227699,NA,NA,1.86e+08,19.04321,413601,9.38271,1780.23,3.13993,121367,0.782224,18630.5,4462.42,2400000,0.393925,15.7886,0.232235,"matched (3)",3,29,25.85906,-0.4403967,0.0010963,-6.815855,23.43132,NA,6.785651,-1.337851,-1.858835,17.52908,117.6397,11.70657,302.721,16.75702,18900000,18900000,16.75702,17.11431,27100000,18.80401,1.47e+08,NA,0.6898317,-0.5478103,-0.9036802,2.205089,30.44343,0,15,NA,NA,NA,NA,NA,NA,NA,1,15.0564390863296,NA
"4","American Samoa",NA,NA,"Small_Island_dev_states",NA,0,5.6e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.299193,8.71588,11.9885,4529.27,0,24.4545,25.5407,99.1924,NA,NA,8,4510.18,NA,0,0.000262,NA,12,0,-1.77274,NA,1,0,0.000385,0,9.33636,1,0,NA,NA,-0.631378,0.76333,0.482934,1.01661,0.230719,1.20683,0.934922,-0.548197,56407.2,NA,4,"America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9091,NA,19.0909,15.1182,NA,88.3864,176.773,NA,200,9.33636,282.036,0.299193,"using only (2)",4,9,20.1501,-1.206667,NA,NA,NA,NA,NA,NA,1.718405,10.94035,-54.37696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"5","Andorra",NA,NA,NA,NA,0,3.4e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND",100,NA,NA,NA,NA,NA,NA,NA,NA,85.2424,24.8821,24.8818,0,0,42.087,NA,0,1.7e+07,NA,3,0,NA,NA,NA,NA,0,0,-0.81622,NA,2,0,0,NA,NA,0,0,NA,NA,-0.375455,1.26258,1.65157,1.33978,1.28805,1.37719,1.27508,-0.183689,80917.5,NA,NA,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.809,0.485409,NA,1.66151,508.491,34.0426,160,NA,470,NA,172.165,18.5821,"using only (2)",5,5,21.95968,4.445499,NA,NA,16.635,NA,NA,NA,3.196657,11.30118,0,6.231447,136.8406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"6","Angola",5927463.59,15042752,"Least_dev",NA,0,9e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGO",44.6991,75.4437,-21.9531,0.8781,27.1744,0,27.5058,0.331372,3.98028,66.3018,5.00471,6.97095,360955,32.1629,46.9888,23.6864,81.5072,6.1e+09,2.18352,32,360626,0.197271,0,1.01176,7.68699,53,0.388048,4.63968,12.2483,18,0,5.93795,31.6781,0.232614,34,27.2445,36.6,19902.7,4.75185,-1.36708,-1.04741,-0.360137,-0.988603,-1.08793,-1.09681,3.38257,2.9e+07,NA,0,"Africa",0,NA,NA,NA,0,185.829,5.224827,NA,NA,1.86e+08,19.04034,585809,6.91508,328.636,3.44181,29010.9,46.8077,583552,3266.01,1200000,0.232614,20.2541,55.0686,"matched (3)",6,50,25.22308,4.194217,0.0020648,-6.182738,22.53156,NA,4.975781,-1.623177,-2.208952,17.18281,275.7038,10.27543,259.1779,17.85576,56800000,56800000,17.85576,18.31277,89800000,22.05952,3.8e+09,NA,-0.1754802,-1.003076,-1.51526,2.051599,49.35778,0,20,NA,NA,NA,NA,NA,NA,NA,1,15.5951069543469,16.5264068384708
"7","Antigua and Barbuda",NA,NA,"Developing",NA,0,1.3e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATG",98.3727,81.5272,NA,1.14702,0,0,NA,NA,NA,0.299177,0.26279,18.8231,3353.91,0,20.4545,61.9111,51.8406,1.9e+07,NA,3,3348.64,0.261143,0,NA,7.06114,31,0,2.01621,13.7521,2,0,12.3473,0,2.27273,4,0,NA,6.66667,-0.037905,0.5084,0.085511,0.86838,0.382261,0.351626,0.602726,1.01618,94473.4,NA,1,"America",0,NA,NA,NA,0,3.1813,1.15729,NA,NA,3181300,14.9728,90,1.68653,9.66667,9.09091,502.379,22.2727,98,12734.4,440,2.27273,204.623,0,"matched (3)",7,5,20.98563,-1.20672,0.0024472,-6.01283,16.75995,5581835,5.48025,-1.342687,1.012466,11.45607,52.67938,6.219355,130.5171,13.97933,1178002,1178002,13.97933,14.30876,1637630,14.65714,2320142,NA,-0.6087072,-0.0510463,-0.3790158,-0.3672323,3.593998,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"8","Antigua And Barbuda",3801322.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1508595799426,NA
"9","Argentina",10402691.75,2703196,"Developing",NA,0,4.3e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARG",97.73,99.4021,8.68741,1.14829,2.41961,0.30227,2.73659,0.014712,7.95584,30.3594,7.44628,8.8355,878406,3.40295,53.5984,72.932,90.511,2.9e+10,5.82728,52,875248,0.250747,0.000657,0.16719,37.6117,42,0.095548,2.38415,9.53179,38,0.47059,3.1787,2.40926,0.365405,70,1.06365,29.3333,3287.38,1.19057,-0.342427,0.020703,0.080731,-0.597913,-0.507214,0.468417,1.05752,4.4e+07,"Latin America and the Carribean",1,"America",0,NA,NA,NA,0,83.2559,4.421919,NA,NA,83300000,18.23743,1500000,6.37987,3157.99,13.7743,187274,10.3477,283185,9971.24,2700000,0.365405,15.2755,9.53566,"matched (3)",8,90,26.78705,3.413106,0.0001936,-8.549622,24.09056,NA,6.716773,-1.383311,-0.5935276,17.5997,95.71719,12.14033,325.2036,18.98114,1.75e+08,1.75e+08,18.98114,19.68281,3.53e+08,18.85498,1.54e+08,NA,0.6585912,-0.3353852,1.027263,0.3429327,91.69341,0,23,NA,NA,NA,NA,NA,NA,NA,1,16.1575751527383,14.8099453346534
"10","Armenia",1209407.46,NA,"Trans_Countries",NA,0,1.1e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM",94.3364,94.3265,5.60226,1.29946,0,1.56495,1.71421,0.149256,6.48914,31.3336,23.11,23.1103,10730.2,3.18762,60.1485,36.2439,82.3189,NA,28.1925,14,2336.36,0.24611,0,0.478231,39.8251,3,0.239699,4.36902,7.33897,9,2.94792,1.76273,0,1.9408,74,46.3483,30.7,18416.8,-0.171992,-0.507869,-0.129153,-0.450241,0.251006,-0.235698,-0.470411,0.370595,2900000,NA,2,"Asia",0,NA,NA,NA,0,190.879,5.251638,NA,NA,1.91e+08,19.06715,17124.3,17.1712,8393.82,15.7732,5024.6,11.6461,3315.64,3769.29,28470,1.9408,102.383,8.30989,"matched (3)",9,23,23.12116,3.444691,0.0173526,-4.054013,NA,NA,5.690349,-1.401977,-0.4377487,14.88022,30.50697,8.522102,197.0409,16.3374,12500000,12500000,16.3374,16.67218,17400000,15.80244,7293076,NA,-0.0717175,-0.9619055,0.9741068,-0.2441243,22.69636,0,11,NA,NA,NA,NA,NA,NA,NA,1,14.0056410951502,NA
